IDNUMBO;PRODA;UGBBO;RATIOBO;;IDNUMCA;UGBCA;PRODA;RATIOCA;;IDNUMHE;UGBHE;PRODA;RATIOHE;;IDNUMOV;UGBOV;PRODA;RATIOOV;;IDNUMPO;UGBPO;PRODA;RATIOPO;;TDTE3;;ZENVI
45492;16930;5;3386;;;;;;;41098;4;45866,4;11466,6;;35628;7;25406;3629,428571;;33819;44;387756,19;8812,640682;;90621;;0
46087;2005;5;401;;;;;;;42036;4;11598;2899,5;;42068;7;13353;1907,571429;;49174;44;296621,86;6741,405909;;93416;;0
46252;27270;5;5454;;;;;;;44586;4;-6293;-1573,25;;42708;7;12555;1793,571429;;37477;44;349690;7947,5;;88634.91;;0
46523;114542;5;22908,4;;;;;;;45060;4;331228,9;82807,225;;45917;7;300;42,85714286;;42549;45;292938;6509,733333;;136273.99;;0
46843;153122;5;30624,4;;;;;;;45642;4;696766,49;174191,6225;;47551;7;4800;685,7142857;;46696;45;363625,29;8080,562;;164927.93;;0
46859;3003;5;600,6;;;;;;;45697;4;2610;652,5;;47843;7;7698,22;1099,745714;;48762;45;445474,65;9899,436667;;61910;;0
47323;9031;5;1806,2;;;;;;;46341;4;5406,48;1351,62;;48699;7;16869,88;2409,982857;;27226;45;507450;11276,66667;;109551;;0
47473;115125;5;23025;;;;;;;46514;4;4160,92;1040,23;;48919;7;1163;166,1428571;;48651;45;465938,55;10354,19;;134561;;1
47950;24465;5;4893;;;;;;;47265;4;11247,48;2811,87;;49153;7;-10294,64;-1470,662857;;34675;46;513356;11159,91304;;203273;;0
48052;27451,62;5;5490,324;;;;;;;47325;4;620766,6;155191,65;;49328;7;6022;860,2857143;;35601;46;417300;9071,73913;;648750.23;;0
48164;240544;5;48108,8;;;;;;;47413;4;5075;1268,75;;49341;7;4625;660,7142857;;41165;46;15128;328,8695652;;25027;;0
48176;16319;5;3263,8;;;;;;;47631;4;-4650;-1162,5;;49394;7;939;134,1428571;;44281;46;682167;14829,71739;;284261.25;;0
48549;197215,87;5;39443,174;;;;;;;48058;4;14060;3515;;45081;7;10690;1527,142857;;46303;46;431984;9390,956522;;84442;;0
48678;8030;5;1606;;;;;;;48287;4;-32413;-8103,25;;2292;7;23516;3359,428571;;46322;46;401036;8718,173913;;124348.33;;0
48742;13553;5;2710,6;;;;;;;48375;4;2694;673,5;;40615;7;10892;1556;;46698;46;30117,53;654,728913;;108651;;0
48770;9357;5;1871,4;;;;;;;48687;4;8162;2040,5;;47270;7;-8947;-1278,142857;;46881;46;453004;9847,913043;;50648;;0
49060;11727;5;2345,4;;;;;;;48691;4;127945,32;31986,33;;38226;7;7620;1088,571429;;46911;46;329751;7168,5;;267906;;0
49305;1068973;5;213794,6;;;;;;;48708;4;60064;15016;;47386;7;21555,63;3079,375714;;47055;46;216332;4702,869565;;37701.59;;0
49339;6818;5;1363,6;;;;;;;48762;4;445474,65;111368,6625;;4655;7;34290,73;4898,675714;;47427;46;441896;9606,434783;;82301;;0
49347;12296;5;2459,2;;;;;;;48917;4;8408;2102;;47950;7;24465;3495;;47974;46;358677,98;7797,347391;;137919;;0
49393;5184;5;1036,8;;;;;;;49296;4;611600,22;152900,055;;49009;7;45942;6563,142857;;49084;46;382005,94;8304,476957;;260288;;0
49497;3341;5;668,2;;;;;;;49395;4;3610;902,5;;48923;7;30320;4331,428571;;49186;46;244331,07;5311,545;;114954;;0
7756;-142;6;-23,66666667;;;;;;;18406;4;6555;1638,75;;48051;7;21505,62;3072,231429;;45485;46;262756,36;5712,094783;;193158.57;;1
11034;39601;6;6600,166667;;;;;;;48409;4;4345;1086,25;;48035;7;24382,23;3483,175714;;47318;46;550665,52;11970,98957;;13830;;0
21137;-4115,04;6;-685,84;;;;;;;35741;4;53376;13344;;49382;7;23495;3356,428571;;37240;46;505404;10987,04348;;196761.12;;0
22547;2540;6;423,3333333;;;;;;;40803;4;-531;-132,75;;46831;7;76293,95;10899,13571;;35461;46;364259;7918,673913;;161871;;0
27726;9443;6;1573,833333;;;;;;;41694;4;248,45;62,1125;;35294;7;74318;10616,85714;;40861;46;457019;9935,195652;;74927;;0
